year,Project,Location,Incentive Type,Term,Projected Number of Jobs Over Term, Projected New State Tax Revenue Over Term , Projected Capital Investment in Facility , Projected New State Wages , Maximum Cap Incentive Earned Over Term 
2009,Boart Longyear**,Salt Lake City,EDTIF,10,200," $12,144,430 "," $3,000,000 "," $222,535,427 "," $3,036,000 "
2009,Reckitt Benckiser,Tooele Co.,EDTIF,10,141," $9,506,507 "," $35,000,000 "," $49,289,036 "," $1,901,000 "
2009,Jet Aviation**,Ogden,EDTIF/IAF,15,650," $27,716,041 "," $6,900,000 "," $420,759,000 "," $8,315,000 "
2009,Cephalon II,Salt Lake City,EDTIF,10,60," $6,732,756 "," $18,000,000 "," $37,267,447 "," $1,683,200 "
2009,Quality Bicycle Products,Weber,EDTIF,10,71," $10,861,159 "," $5,700,000 "," $33,426,126 "," $2,172,232 "
2009,SA International**,Salt Lake City,EDTIF,10,129," $7,130,805 "," $370,000 "," $63,963,000 "," $1,782,701 "
2009,Top Ten Reviews**,Ogden,EDTIF,7,165," $3,658,878 ", $-   ," $45,287,172 "," $731,775 "
2009,Duncan Aviation**,Provo,EDTIF,15,657," $22,144,311 "," $58,000,000 "," $336,840,838 "," $6,643,293 "
2009,Nelson Laboratories,Taylorsville,EDTIF,10.5,393," $9,982,877 "," $13,745,000 "," $157,538,750 "," $1,996,600 "
2009,Sun Products Corporation,Salt Lake City,EDTIF/IAF,10,80," $34,022,025 "," $14,600,000 "," $276,114,553 "," $2,513,600 "
2009,Keystone Aviation HondaJet**,Salt Lake City,EDTIF,10,72," $8,701,701 "," $4,000,000 "," $18,830,731 "," $1,740,300 "
2009,ATK Aerospace Structures**,Clearfield,EDTIF,20,848," $109,108,187 "," $250,000,000 "," $1,664,771,288 "," $32,732,500 "
2009,Dynamic Confections**,Draper,EDTIF,10.5,110," $4,119,277 "," $4,000,000 "," $70,198,304 "," $823,856 "
2009,Great Salt Lake Minerals**,Ogden,EDTIF,10.5,50," $1,024,253 "," $42,000,000 "," $27,313,426 "," $153,638 "
2009,Verisys Corporation**,South Jordan,EDTIF,7,100," $4,177,496 "," $10,000,000 "," $18,719,026 "," $835,000 "
2009,eBay (Customer Service)* (cy2012),Draper,EDTIF,10,200," $6,879,345 "," $40,500,000 "," $70,106,217 "," $1,719,800 "
